,City,Country ID,Date,Cloudiness,Humidity,Lat,Lon,Max_temp,Wind Speed
261,faanui,pf,2019-10-07 01:52:07+00:00,100,84,-151.75,-16.48,77.16,7.484
262,constitucion,mx,2019-10-07 01:54:45+00:00,40,37,-104.67,23.99,68.0,3.1
263,penzance,gb,2019-10-07 01:59:37+00:00,100,93,-5.53,50.12,57.0,5.1
264,kutum,sd,2019-10-07 01:59:37+00:00,0,71,24.66,14.2,72.21,0.56
265,ahipara,nz,2019-10-07 01:53:44+00:00,71,83,173.16,-35.17,60.21,5.53
266,kozmodemyansk,ru,2019-10-07 01:59:38+00:00,40,87,46.55,56.33,48.2,4.0
267,cururupu,br,2019-10-07 01:59:39+00:00,0,94,-44.87,-1.82,72.23,1.15
268,tombouctou,ml,2019-10-07 01:59:39+00:00,99,32,-3.01,16.77,89.74,2.66
269,castro,cl,2019-10-07 01:52:57+00:00,75,87,-73.76,-42.48,44.6,2.1
270,baley,ru,2019-10-07 01:59:40+00:00,67,37,116.65,51.58,36.72,6.8
271,atar,mr,2019-10-07 01:59:40+00:00,0,10,-13.05,20.52,89.67,5.32
272,vila do maio,cv,2019-10-07 01:53:27+00:00,75,78,-23.22,15.13,80.6,5.1
273,semey,kz,2019-10-07 01:59:41+00:00,0,46,80.25,50.41,32.0,1.0
274,quatre cocos,mu,2019-10-07 01:52:22+00:00,40,83,57.76,-20.21,73.4,7.7
275,nanakuli,us,2019-10-07 01:52:44+00:00,20,62,-158.15,21.39,84.2,4.6
276,araouane,ml,2019-10-07 01:52:18+00:00,38,10,-3.53,18.9,88.77,3.44
277,portel,br,2019-10-07 01:59:43+00:00,39,93,-50.82,-1.94,74.39,1.84
278,kandi,bj,2019-10-07 01:59:43+00:00,85,96,2.93,11.13,72.81,1.56
279,gonbad-e qabus,ir,2019-10-07 01:59:43+00:00,0,51,55.17,37.25,68.0,1.5
280,vila velha,br,2019-10-07 01:53:01+00:00,0,74,-38.6,-3.71,79.0,4.1
281,nelson bay,au,2019-10-07 01:59:44+00:00,95,69,152.14,-32.72,75.99,6.7
282,wucheng,cn,2019-10-07 01:59:45+00:00,58,67,119.57,29.09,80.11,1.27
283,xinyu,cn,2019-10-07 01:59:45+00:00,0,45,114.93,27.8,85.28,0.74
284,takoradi,gh,2019-10-07 01:55:40+00:00,72,90,-1.75,4.89,75.31,3.524
285,irtyshskiy,ru,2019-10-07 01:59:46+00:00,33,88,68.13,58.33,44.19,2.1
286,nome,us,2019-10-07 01:52:53+00:00,1,74,-94.42,30.04,82.99,1.5
287,ketchikan,us,2019-10-07 01:59:47+00:00,90,87,-131.65,55.34,53.6,6.2
